Subject,age,height,Occasion
1,-1.0000,140.50,1
1,-0.7479,143.40,2
1,-0.4630,144.80,3
1,-0.1643,147.10,4
1,-0.0027,147.70,5
1,0.2466,150.20,6
1,0.5562,151.70,7
1,0.7781,153.30,8
1,0.9945,155.80,9
2,-1.0000,136.90,1
2,-0.7479,139.10,2
2,-0.4630,140.10,3
2,-0.1643,142.60,4
2,-0.0027,143.20,5
2,0.2466,144.00,6
2,0.5562,145.80,7
2,0.7781,146.80,8
2,0.9945,148.30,9
3,-1.0000,150.00,1
3,-0.7479,152.10,2
3,-0.4630,153.90,3
3,-0.1643,155.80,4
3,-0.0027,156.00,5
3,0.2466,156.90,6
3,0.5562,157.40,7
3,0.7781,159.10,8
3,0.9945,160.60,9
4,-1.0000,155.70,1
4,-0.7479,158.70,2
4,-0.4630,160.60,3
4,-0.1643,163.30,4
4,-0.0027,164.40,5
4,0.2466,167.30,6
4,0.5562,170.70,7
4,0.7781,172.00,8
4,0.9945,174.80,9
5,-1.0000,145.80,1
5,-0.7479,147.30,2
5,-0.4493,148.70,3
5,-0.1643,149.78,4
5,-0.0027,150.22,5
5,0.2466,152.50,6
5,0.5562,154.80,7
5,0.7781,156.40,8
5,0.9973,158.70,9
6,-1.0000,142.40,1
6,-0.7479,143.80,2
6,-0.4630,145.20,3
6,-0.1643,146.30,4
6,-0.0027,147.10,5
6,0.2466,148.10,6
6,0.5562,148.90,7
6,0.7781,149.10,8
6,0.9945,151.00,9
7,-1.0000,141.30,1
7,-0.7479,142.40,2
7,-0.4493,144.30,3
7,-0.1643,145.20,4
7,0.0000,146.10,5
7,0.2466,146.80,6
7,0.5562,147.90,7
7,0.7945,150.50,8
7,0.9945,151.80,9
8,-1.0000,141.70,1
8,-0.7479,143.70,2
8,-0.4630,145.10,3
8,-0.1643,147.90,4
8,-0.0027,148.10,5
8,0.2466,149.60,6
8,0.5562,150.99,7
8,0.7945,154.10,8
8,1.0055,154.90,9
9,-1.0000,132.70,1
9,-0.7479,134.10,2
9,-0.4493,135.30,3
9,-0.1643,136.60,4
9,-0.0027,137.50,5
9,0.2466,139.10,6
9,0.5562,140.90,7
9,0.7945,143.70,8
9,0.9945,144.70,9
10,-1.0000,126.20,1
10,-0.7479,128.20,2
10,-0.4630,129.00,3
10,-0.1643,129.40,4
10,-0.0027,129.59,5
10,0.2466,130.60,6
10,0.5562,132.50,7
10,0.7781,133.40,8
10,0.9945,134.20,9
11,-1.0000,142.50,1
11,-0.7479,143.80,2
11,-0.4630,145.60,3
11,-0.1643,148.30,4
11,-0.0027,149.40,5
11,0.2466,151.60,6
11,0.5562,154.80,7
11,0.7781,156.90,8
11,0.9945,159.20,9
12,-1.0000,149.90,1
12,-0.7479,151.70,2
12,-0.4630,153.30,3
12,-0.1643,156.10,4
12,0.0000,156.70,5
12,0.2466,157.80,6
12,0.5562,160.70,7
12,0.7781,162.70,8
12,0.9945,163.80,9
13,-1.0000,148.90,1
13,-0.7150,149.80,2
13,-0.4630,151.70,3
13,-0.1643,154.40,4
13,-0.0027,155.50,5
13,0.2466,156.40,6
13,0.5562,161.40,7
13,0.7781,163.90,8
13,0.9945,164.60,9
14,-1.0000,151.60,1
14,-0.7479,153.20,2
14,-0.4630,155.20,3
14,-0.1643,157.30,4
14,0.0000,159.10,5
14,0.2466,160.90,6
14,0.5562,164.40,7
14,0.7781,166.90,8
14,0.9945,168.40,9
15,-1.0000,137.50,1
15,-0.7479,139.30,2
15,-0.4630,140.90,3
15,-0.1643,142.70,4
15,-0.0027,144.20,5
15,0.2466,145.70,6
15,0.5562,147.09,7
15,0.7781,150.20,8
15,0.9945,152.30,9
16,-1.0000,142.80,1
16,-0.7479,144.90,2
16,-0.4630,145.00,3
16,-0.1643,146.70,4
16,-0.0027,147.20,5
16,0.2466,148.90,6
16,0.5562,150.10,7
16,0.7781,151.00,8
16,0.9945,152.20,9
17,-1.0000,134.90,1
17,-0.7479,137.40,2
17,-0.4630,138.20,3
17,-0.1643,140.20,4
17,-0.0027,143.60,5
17,0.2466,144.20,6
17,0.5562,147.90,7
17,0.7781,150.30,8
17,0.9945,151.80,9
18,-1.0000,145.50,1
18,-0.7479,146.20,2
18,-0.4630,148.20,3
18,-0.1643,150.30,4
18,-0.0027,152.00,5
18,0.2466,152.30,6
18,0.5562,154.30,7
18,0.7781,156.20,8
18,0.9945,156.80,9
19,-1.0000,156.90,1
19,-0.7479,157.90,2
19,-0.4630,160.30,3
19,-0.1643,161.90,4
19,0.0000,163.80,5
19,0.2466,165.50,6
19,0.5562,169.90,7
19,0.7781,172.40,8
19,0.9945,174.40,9
20,-1.0000,146.50,1
20,-0.7479,148.40,2
20,-0.4630,149.30,3
20,-0.1643,151.20,4
